Genre,Sequence,Label
Blues,"[('1/8', '62', 72), ('1/8', '59', 72), ('1/8', '62', 72), ('1/8', '59', 72), ('1/8', '57', 72), ('1/8', '57', 72), ('1/4', '52', 72), ('1/4', '52', 72), ('1/4', '52', 72), ('1/8', '55', 72)]","[('1/4', '57', 72)]"
Blues,"[('1/8', '59', 72), ('1/8', '62', 72), ('1/8', '59', 72), ('1/8', '57', 72), ('1/8', '57', 72), ('1/4', '52', 72), ('1/4', '52', 72), ('1/4', '52', 72), ('1/8', '55', 72), ('1/4', '57', 72)]","[('1/4', '67,61,69', 72)]"
Blues,"[('1/8', '62', 72), ('1/8', '59', 72), ('1/8', '57', 72), ('1/8', '57', 72), ('1/4', '52', 72), ('1/4', '52', 72), ('1/4', '52', 72), ('1/8', '55', 72), ('1/4', '57', 72), ('1/4', '67,61,69', 72)]","[('1/8', '67,69', 72)]"
Blues,"[('1/8', '59', 72), ('1/8', '57', 72), ('1/8', '57', 72), ('1/4', '52', 72), ('1/4', '52', 72), ('1/4', '52', 72), ('1/8', '55', 72), ('1/4', '57', 72), ('1/4', '67,61,69', 72), ('1/8', '67,69', 72)]","[('1/8', '57,61,67,69', 72)]"
Blues,"[('1/8', '57', 72), ('1/8', '57', 72), ('1/4', '52', 72), ('1/4', '52', 72), ('1/4', '52', 72), ('1/8', '55', 72), ('1/4', '57', 72), ('1/4', '67,61,69', 72), ('1/8', '67,69', 72), ('1/8', '57,61,67,69', 72)]","[('1/8', '57,61,67,69', 72)]"
Blues,"[('1/8', '57', 72), ('1/4', '52', 72), ('1/4', '52', 72), ('1/4', '52', 72), ('1/8', '55', 72), ('1/4', '57', 72), ('1/4', '67,61,69', 72), ('1/8', '67,69', 72), ('1/8', '57,61,67,69', 72), ('1/8', '57,61,67,69', 72)]","[('1/8', '52', 72)]"
Blues,"[('1/4', '52', 72), ('1/4', '52', 72), ('1/4', '52', 72), ('1/8', '55', 72), ('1/4', '57', 72), ('1/4', '67,61,69', 72), ('1/8', '67,69', 72), ('1/8', '57,61,67,69', 72), ('1/8', '57,61,67,69', 72), ('1/8', '52', 72)]","[('1/8', '60', 72)]"
Blues,"[('1/4', '52', 72), ('1/4', '52', 72), ('1/8', '55', 72), ('1/4', '57', 72), ('1/4', '67,61,69', 72), ('1/8', '67,69', 72), ('1/8', '57,61,67,69', 72), ('1/8', '57,61,67,69', 72), ('1/8', '52', 72), ('1/8', '60', 72)]","[('1/4', '60', 72)]"
Blues,"[('1/4', '52', 72), ('1/8', '55', 72), ('1/4', '57', 72), ('1/4', '67,61,69', 72), ('1/8', '67,69', 72), ('1/8', '57,61,67,69', 72), ('1/8', '57,61,67,69', 72), ('1/8', '52', 72), ('1/8', '60', 72), ('1/4', '60', 72)]","[('1/8', '60', 72)]"
Blues,"[('1/8', '55', 72), ('1/4', '57', 72), ('1/4', '67,61,69', 72), ('1/8', '67,69', 72), ('1/8', '57,61,67,69', 72), ('1/8', '57,61,67,69', 72), ('1/8', '52', 72), ('1/8', '60', 72), ('1/4', '60', 72), ('1/8', '60', 72)]","[('1/4', '52', 72)]"
Blues,"[('1/4', '57', 72), ('1/4', '67,61,69', 72), ('1/8', '67,69', 72), ('1/8', '57,61,67,69', 72), ('1/8', '57,61,67,69', 72), ('1/8', '52', 72), ('1/8', '60', 72), ('1/4', '60', 72), ('1/8', '60', 72), ('1/4', '52', 72)]","[('1/8', '52', 72)]"
Blues,"[('1/4', '67,61,69', 72), ('1/8', '67,69', 72), ('1/8', '57,61,67,69', 72), ('1/8', '57,61,67,69', 72), ('1/8', '52', 72), ('1/8', '60', 72), ('1/4', '60', 72), ('1/8', '60', 72), ('1/4', '52', 72), ('1/8', '52', 72)]","[('1/2', '52', 72)]"
Blues,"[('1/8', '67,69', 72), ('1/8', '57,61,67,69', 72), ('1/8', '57,61,67,69', 72), ('1/8', '52', 72), ('1/8', '60', 72), ('1/4', '60', 72), ('1/8', '60', 72), ('1/4', '52', 72), ('1/8', '52', 72), ('1/2', '52', 72)]","[('1/8', '56,65', 72)]"
Blues,"[('1/8', '57,61,67,69', 72), ('1/8', '57,61,67,69', 72), ('1/8', '52', 72), ('1/8', '60', 72), ('1/4', '60', 72), ('1/8', '60', 72), ('1/4', '52', 72), ('1/8', '52', 72), ('1/2', '52', 72), ('1/8', '56,65', 72)]","[('1/4', '57,66', 72)]"
Blues,"[('1/8', '57,61,67,69', 72), ('1/8', '52', 72), ('1/8', '60', 72), ('1/4', '60', 72), ('1/8', '60', 72), ('1/4', '52', 72), ('1/8', '52', 72), ('1/2', '52', 72), ('1/8', '56,65', 72), ('1/4', '57,66', 72)]","[('1/8', '69,55,64', 72)]"
Blues,"[('1/8', '52', 72), ('1/8', '60', 72), ('1/4', '60', 72), ('1/8', '60', 72), ('1/4', '52', 72), ('1/8', '52', 72), ('1/2', '52', 72), ('1/8', '56,65', 72), ('1/4', '57,66', 72), ('1/8', '69,55,64', 72)]","[('1/8', '56,65', 72)]"
Blues,"[('1/8', '60', 72), ('1/4', '60', 72), ('1/8', '60', 72), ('1/4', '52', 72), ('1/8', '52', 72), ('1/2', '52', 72), ('1/8', '56,65', 72), ('1/4', '57,66', 72), ('1/8', '69,55,64', 72), ('1/8', '56,65', 72)]","[('1/4', '57,66', 72)]"
Blues,"[('1/4', '60', 72), ('1/8', '60', 72), ('1/4', '52', 72), ('1/8', '52', 72), ('1/2', '52', 72), ('1/8', '56,65', 72), ('1/4', '57,66', 72), ('1/8', '69,55,64', 72), ('1/8', '56,65', 72), ('1/4', '57,66', 72)]","[('1/8', '69,55,64', 72)]"
